time,x,label
0.1,-0.087067,0
0.2,-0.085587,0
0.3,-0.109787,0
0.4,-0.110199,0
0.5,-0.132095,0
0.6,-0.072235,0
0.7,-0.039062,0
0.8,0.049805,0
0.9,0.034088,0
1,0.017639,0
1.1,-0.162506,0
1.2,-0.054672,0
1.3,-0.002853,0
1.4,0.031387,0
1.5,0.022964,0
1.6,0.038116,0
1.7,0.042282,0
1.8,-0.053513,0
1.9,-0.009277,0
2,0.078079,0
2.1,-0.022812,0
2.2,-0.058426,0
2.3,0.097244,0
2.4,0.148209,0
2.5,-0.002411,0
2.6,0.069427,0
2.7,0.033661,0
2.8,-0.054123,0
2.9,-0.006271,0
3,-0.01326,0
3.1,0.014389,0
3.2,0.063232,0
3.3,0.082748,0
3.4,0.164368,0
3.5,0.119537,0
3.6,-0.007462,0
3.7,0.044846,0
3.8,0.122635,0
3.9,-0.038956,0
4,0.078339,0
4.1,0.053314,0
4.2,0.034637,0
4.3,0.096848,0
4.4,0.127426,0
4.5,0.228897,0
4.6,0.099503,0
4.7,-0.086945,0
4.8,0.03624,0
4.9,0.002869,0
5,0.022049,0
5.1,0.01622,0
5.2,0.025879,0
5.3,0.085022,0
5.4,0.10025,0
5.5,0.168823,0
5.6,0.24559,0
5.7,0.20816,0
5.8,0.043472,0
5.9,-0.066162,0
6,0.132874,0
6.1,-0.009018,0
6.2,0.158218,0
6.3,0.079254,0
6.4,0.061569,0
6.5,0.109619,0
6.6,0.107529,0
6.7,0.023041,0
6.8,0.101593,0
6.9,-0.100189,0
7,-0.005478,0
7.1,0.18959,0
7.2,0.06189,0
7.3,0.060959,0
7.4,0.015564,0
7.5,-0.040726,0
7.6,0.256577,0
7.7,0.230118,0
7.8,0.275436,0
7.9,0.109863,0
8,0.124298,0
8.1,0.027237,0
8.2,-0.008789,0
8.3,0.002396,0
8.4,-0.049301,0
8.5,0.075302,0
8.6,0.223526,0
8.7,0.147659,0
8.8,0.246368,0
8.9,0.286301,0
9,-0.045624,0
9.1,0.085495,0
9.2,-0.16832,0
9.3,-0.024841,0
9.4,0.020172,0
9.5,0.009155,0
9.6,0.071548,0
9.7,0.234772,0
9.8,0.180923,0
9.9,0.173233,0
10,0.271469,0
10.1,-0.019287,0
10.2,0.1138,0
10.3,-0.010559,0
10.4,0.082184,0
10.5,0.021454,0
10.6,-0.001083,0
10.7,-0.000244,0
10.8,0.105148,0
10.9,0.252823,0
11,0.277359,0
11.1,0.200851,0
11.2,0.060791,0
11.3,0.066437,0
11.4,0.070114,0
11.5,0.052307,0
11.6,0.045288,0
11.7,0.100159,0
11.8,0.049942,0
11.9,0.075867,0
12,0.243149,0
12.1,0.290222,0
12.2,0.165237,0
12.3,0.074631,0
12.4,0.00029,0
12.5,0.044891,0
12.6,0.001678,0
12.7,0.081207,0
12.8,0.032333,0
12.9,0.01239,0
13,-0.025665,0
13.1,0.010117,0
13.2,0.083115,0
13.3,0.01976,0
13.4,0.216324,0
13.5,0.218887,0
13.6,0.102219,0
13.7,0.075394,0
13.8,0.037094,0
13.9,0.08902,0
14,0.036469,0
14.1,0.072296,0
14.2,0.056625,0
14.3,0.140732,0
14.4,0.109909,0
14.5,0.192764,0
14.6,0.060745,0
14.7,0.038742,0
14.8,0.092545,0
14.9,0.02298,0
15,0.030685,0
15.1,0.034317,0
15.2,0.069885,0
15.3,0.107208,0
15.4,0.278351,0
15.5,0.276108,0
15.6,0.233078,0
15.7,0.147659,0
15.8,0.067062,0
15.9,-0.00293,0
16,0.085342,0
16.1,-0.036804,0
16.2,0.026077,0
16.3,-0.00592,0
16.4,0.090073,0
16.5,0.111847,0
16.6,0.030258,0
16.7,0.173004,0
16.8,0.118546,0
16.9,0.062195,0
17,-0.027267,0
17.1,0.079147,0
17.2,0.072327,0
17.3,-0.058762,0
17.4,-0.028015,0
17.5,0.146729,0
17.6,0.217728,0
17.7,0.148346,0
17.8,0.080719,0
17.9,0.185318,0
18,0.050949,0
18.1,0.032089,0
18.2,-0.032761,0
18.3,0.200317,0
18.4,0.035751,0
18.5,0.003265,0
18.6,0.020203,0
18.7,0.028397,0
18.8,-0.063461,0
18.9,0.048935,0
19,0.127884,0
19.1,0.100723,0
19.2,0.094254,0
19.3,-0.000381,0
19.4,0.005615,0
19.5,0.219421,0
19.6,-0.118774,0
19.7,0.05481,0
19.8,0.063644,0
19.9,0.09584,0
20,-0.02063,0
20.1,0.263657,0
20.2,0.120926,0
20.3,0.077164,0
20.4,0.023117,0
20.5,0.197128,0
20.6,0.082291,0
20.7,-0.036179,0
20.8,0.038986,0
20.9,0.039993,0
21,0.057709,0
21.1,0.0616,0
21.2,0.320953,0
21.3,0.273499,0
21.4,0.009567,0
21.5,0.213608,0
21.6,0.0336,0
21.7,0.132065,0
21.8,0.168106,0
21.9,-0.049072,0
22,-0.01004,0
22.1,-0.027191,0
22.2,-0.033463,0
22.3,0.160767,0
22.4,0.129257,0
22.5,0.356232,0
22.6,0.033173,0
22.7,0.067902,0
22.8,-0.029007,0
22.9,0.147217,0
23,0.002075,0
23.1,0.068985,0
23.2,-0.036606,0
23.3,0.094101,0
23.4,0.022812,0
23.5,0.048111,0
23.6,-0.026672,0
23.7,-0.052002,0
23.8,-0.048065,0
23.9,-0.077606,0
24,0.104034,1
24.1,0.117279,1
24.2,0.188965,1
24.3,-0.093414,1
24.4,0.03537,1
24.5,0.150208,1
24.6,0.068359,1
24.7,0.373199,1
24.8,0.343384,1
24.9,-0.02774,1
25,0.078934,1
25.1,0.302261,1
25.2,-0.185516,1
25.3,0.113998,1
25.4,0.223267,1
25.5,0.161514,1
25.6,0.225098,1
25.7,0.341721,1
25.8,0.086151,1
25.9,0.472992,1
26,0.529449,1
26.1,0.344269,1
26.2,0.199753,1
26.3,0.423599,1
26.4,0.459457,1
26.5,-0.054611,1
26.6,0.396683,1
26.7,0.505417,1
26.8,0.274429,1
26.9,-0.084824,1
27,0.39357,1
27.1,-0.010513,1
27.2,0.235641,1
27.3,0.314819,1
27.4,0.105835,1
27.5,0.26709,1
27.6,0.148361,1
27.7,0.244583,1
27.8,0.379654,1
27.9,0.536255,1
28,-0.048431,1
28.1,0.13826,1
28.2,0.333115,1
28.3,0.216782,1
28.4,0.369705,1
28.5,0.217072,1
28.6,0.066116,1
28.7,0.182953,1
28.8,0.206924,1
28.9,0.114166,1
29,0.208786,1
29.1,0.59729,1
29.2,0.340134,1
29.3,0.2229,1
29.4,0.123367,1
29.5,0.161285,1
29.6,0.422302,1
29.7,0.199707,1
29.8,0.129257,1
29.9,0.083282,1
30,0.214523,1
30.1,0.111923,1
30.2,0.07518,1
30.3,0.249725,1
30.4,0.20665,1
30.5,-0.107635,1
30.6,-0.12146,1
30.7,0.19162,1
30.8,-0.072571,1
30.9,0.034775,1
31,0.330475,1
31.1,0.103119,1
31.2,-0.40123,1
31.3,0.088257,1
31.4,0.415024,1
31.5,0.397995,1
31.6,0.278687,1
31.7,0.009659,1
31.8,0.109283,1
31.9,0.206299,1
32,-0.158096,1
32.1,0.150696,1
32.2,-0.033371,1
32.3,-0.039612,1
32.4,0.175507,1
32.5,0.139282,1
32.6,0.126648,1
32.7,-0.002563,1
32.8,0.027939,1
32.9,-0.177704,1
33,0.144623,1
33.1,0.187164,1
33.2,0.172119,1
33.3,0.066422,1
33.4,0.095993,1
33.5,0.209,1
33.6,-0.232101,1
33.7,0.211334,1
33.8,0.19162,1
33.9,-0.113724,1
34,0.191711,1
34.1,0.125122,1
34.2,0.336243,1
34.3,-0.104584,1
34.4,0.171906,1
34.5,0.156677,1
34.6,-0.053116,1
34.7,0.077744,1
34.8,0.100159,1
34.9,-0.176315,1
35,0.155945,1
35.1,0.107056,1
35.2,0.053299,1
35.3,0.126343,1
35.4,0.188843,1
35.5,0.017365,1
35.6,0.004395,1
35.7,0.269089,1
35.8,0.126358,1
35.9,-0.00943,1
36,0.231125,1
36.1,0.204468,1
36.2,0.273911,1
36.3,-0.069809,1
36.4,0.182098,1
36.5,0.225906,1
36.6,0.367126,1
36.7,0.070312,1
36.8,0.224197,1
36.9,0.185791,1
37,0.24556,1
37.1,0.218185,1
37.2,0.261917,1
37.3,0.174301,1
37.4,0.335144,1
37.5,0.156754,1
37.6,0.324066,1
37.7,-0.050781,1
37.8,0.21994,1
37.9,0.17453,1
38,0.124069,1
38.1,0.218613,1
38.2,0.467392,1
38.3,0.481705,1
38.4,0.003311,1
38.5,0.070435,1
38.6,0.396683,1
38.7,0.12854,1
38.8,0.105652,1
38.9,0.108398,1
39,0.318863,1
39.1,0.295486,1
39.2,-0.121567,1
39.3,0.08194,1
39.4,-0.04158,1
39.5,0.283112,1
39.6,0.017014,1
39.7,-0.006561,1
39.8,0.199081,1
39.9,0.169861,1
40,0.198959,1
40.1,0.154358,1
40.2,0.264389,1
40.3,0.161545,1
40.4,-0.046494,1
40.5,0.298218,1
40.6,0.445511,1
40.7,0.206879,1
40.8,0.279572,1
40.9,0.279968,1
41,0.303436,1
41.1,-0.066956,1
41.2,0.228149,1
41.3,0.308655,1
41.4,0.156525,1
41.5,0.244156,1
41.6,0.248642,1
41.7,0.276505,1
41.8,0.070114,1
41.9,0.303772,1
42,0.181534,1
42.1,0.099243,1
42.2,0.213852,1
42.3,0.119064,1
42.4,0.311951,1
42.5,0.047485,1
42.6,0.086182,1
42.7,0.420364,1
42.8,-0.018036,1
42.9,0.154526,1
43,0.190262,1
43.1,0.153534,1
43.2,-0.051697,1
43.3,0.312714,1
43.4,0.665115,1
43.5,-0.158539,1
43.6,-0.043854,1
43.7,-0.018631,1
43.8,0.143906,1
43.9,0.163147,1
44,-0.101089,1
44.1,0.305481,1
44.2,0.144257,1
44.3,0.026047,1
44.4,-0.05954,1
44.5,0.015884,1
44.6,0.029007,1
44.7,-0.153885,1
44.8,-0.203552,1
44.9,-0.161057,1
45,-0.225769,1
45.1,-0.14328,1
45.2,-0.025284,1
45.3,0.040314,1
45.4,-0.04422,1
45.5,-0.083908,1
45.6,-0.016144,1
45.7,-0.012848,1
45.8,-0.052383,1
45.9,0.218979,1
46,0.189453,1
46.1,0.147781,1
46.2,0.126175,1